List Research,Number,URL,PR,ROOT,Note,email,contact url,guest post,comment,Niche,pass,email,ROOT Edit
car content partnership,137148,http://www.ebscohost.com/for-publishers/for-publishers,8,http://www.ebscohost.com,content partnership,information@ebscohost.com,http://www.ebscohost.com/contact,http://www.ebscohost.com/uploads/general/Publishers_ebooks_ejournals_flyer0910.pdf,content partnership,,,,ebscohost.com
,8894,http://www.cartalk.com/content/car-talk-service-advice-power-steering-fluid,8,http://www.cartalk.com,unsure guest post,JKing@npr.org,,,unsure guest post,,,,cartalk.com
,8895,http://www.stuff.co.nz/entertainment/blogs/on-the-box/7673924/Guest-post-Not-excited-for-Glee-S4,8,http://www.stuff.co.nz,unsure guest post,newstips@stuff.co.nz,,,unsure guest post,,,,stuff.co.nz
,8893,http://techcrunch.com/2009/06/23/the-government-comes-through-for-tesla-with-a-465-million-loan-for-its-electric-sedan/,8,http://techcrunch.com,unsure guest post,tips@techcrunch.com,,,unsure guest post,,,,techcrunch.com
NZ Guest Post,34846,http://arxiv.org/help/submit,8,http://arxiv.org,Submit an Article,,http://arxiv.org/edit-user/,,academic journal,,,,arxiv.org
,9171,http://www.shutterstock.com/cat.mhtml?safesearch=1&search_language=en&search_type=similar&similar_photo_id=574517&tracking_id=543AAD26-8C0F-11E2-8497-108B71D9A14D,8,http://www.shutterstock.com,become a contributor,,http://submit.shutterstock.com/?language=en,,cash for image submission,,,,shutterstock.com
,9018,http://www.pnas.org/content/99/2/1017.full,8,http://www.pnas.org,submit an article,,http://www.pnascentral.org/cgi-bin/main.plex,,manuscript submission,,,,pnas.org
OLD article directories,42020,http://getfirebug.com/wiki/index.php/How_to_become_a_contributor,8,http://getfirebug.com,become a contributor,,https://groups.google.com/forum/#!forum/firebug,,become a contributor,tech,,,getfirebug.com
AU Guest post,32942,http://www.deakin.edu.au/research/stories/2012/10/31/join-the-conversation,8,http://www.deakin.edu.au,become a contributor,,https://theconversation.com/become-an-author,,become a contributor,,,,deakin.edu.au
car content partnership,135583,http://bigcharts.marketwatch.com/bullet.asp?direction=1&topDate=04%2F16%2F2013%2009%3A30%3A00&botDate=04%2F16%2F2013%2008%3A10%3A00&topIdDoc=1110930007&botIdDoc=1110921801,8,http://bigcharts.marketwatch.com,content partnership,,,content partnership,advertising,,,,bigcharts.marketwatch.com
car content partnership,135498,http://allthingsd.com/20101016/exclusive-former-yahoo-and-microsoft-exec-dossett-to-demand-media/,8,http://allthingsd.com,content partnership,,,http://allthingsd.com/about/,possible,,,,allthingsd.com
,9661,http://www.kqed.org/radio/programs/perspectives/submissions.jsp,7,http://www.kqed.org,yes, mtrautwein@kqed.org,,,radio,,,,kqed.org
AU Guest post,32967,http://cit.edu.au/partnerships/industry_connection/2010_october/seven_rules_for_effective_advertising,7,http://cit.edu.au,industry expert submissions, news@cit.act.edu.au,,,industry expert submissions,,,,cit.edu.au
allinurl beomce a contributor,114772,http://www.asiapacific.ca/thenationalconversationonasia/blog/arriving-mission-hospital-nepal,7,http://www.asiapacific.ca,become a contributor, thenationalconversation@asiapacific.ca,http://www.asiapacific.ca/thenationalconversationonasia/contributors-bloggers,http://www.asiapacific.ca/thenationalconversationonasia/contact-us,become a contributor,,,,asiapacific.ca
UK guest post,54375,http://www.qub.ac.uk/schools/SchoolofPoliticsInternationalStudiesandPhilosophy/AboutUs/Publications/,7,http://www.qub.ac.uk,submit an article,a.baker@qub.ac.uk,bjpir@qub.ac.uk,,submit an article,,,,qub.ac.uk
AU Guest post,32985,http://www.alia.org.au/alj/,7,http://www.alia.org.au,submit an article,alj.editor@alia.org.au,,,submit an article,,,,alia.org.au
,13,http://nadaguides.com,7,http://nadaguides.com,sent,alopez@nadaguides.com ,http://nadaguides.com/Contact,possible,sent,,,,nadaguides.com
insurance guest post,80528,http://www.esri.com/news/arcwatch/0810/gis-business-summit.html,7,http://www.esri.com,submit an article,arcwatch_articles@esri.com.,http://www.esri.com/esri-news/arcwatch/submit,,submit an article,,,,esri.com
,8900,http://www.mail.newdeal20.com/become-contributor,7,http://www.mail.newdeal20.com,guest post,blog@rooseveltinstitute.org,,,guest post,,,,mail.newdeal20.com
insurance guest post,82421,http://www.nextnewdeal.net/reality-check-why-truth-will-protect-social-security,7,http://www.nextnewdeal.net,become a contributor,blog@rooseveltinstitute.org,http://www.nextnewdeal.net/become-contributor,,become a contributor,,,,nextnewdeal.net
,9523,http://www.brisbanetimes.com.au/entertainment/your-big-break-blog-for-brisbanetimescomau-20110802-1i99i.html,7,http://www.brisbanetimes.com.au,bloggers wanted,bloggers@brisbanetimes.com.au.,,,bloggers wanted,,,,brisbanetimes.com.au
AU Guest post,32993,http://www.ballarat.edu.au/centres/art-and-historical-collection/ballarat-and-district-industrial-heritage-project,7,http://www.ballarat.edu.au,become a contributor,c.gervasoni@ballarat.edu.au,http://bih.ballarat.edu.au/index.php/Special:RequestAccount,,become a contributor,wiki,,,ballarat.edu.au
