URL,PR page,PR main,IP,Subnet,Server Country,Server Region,Google Index,Google index domain main,Google index URL,Google index URL main,Google cache,Backlinks Ahrefs,Links to this Page,Referring Domains,Text Backlinks,Referring IP Addresses Ahrefs,Class C Subnets,Bing,Yahoo catalog,Backlinks Majesticseo,Referring Domains MajesticSEO,Citation Flow,Trust Flow,Organic Keywords Semrush,Difference SemRush Organic Keywords,DMOZ,Moz Page Authority,Moz Domain Authority,Page MozRank,Page MozTrust,Domain MozRank,Domain MozTrust,Moz Link Count,Alexa Rank,Alexa Rank Local,Alexa Sites Linking,Domain Merge,Google Domain Mentions,Site links,Link Stat,Language,Web.Arch Domain Age,WhoIs Domain Age,Status Code,FB Likes,FB Shares,FB Total,Google +1,Twitter,StumbleUpon,Diggs,Pins,LinkedIn,Rating
http://www.ebscohost.com,8,8,140.234.252.103,,United States,Massachusetts,10300,4440,1,1,5/16/2014 1:22,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,16481,-1,Yes,89.92,91.18,6.91,6.86,6.89,7.42,250823,3785,2283,13663,No,11600000,10,40/17,English/simple,15y 5m 11d,16y 10m 8d,200,175,593,895,55,106,0,0,12,12,0
http://www.cartalk.com,8,8,107.22.186.232,,United States,Virginia,58000,13200,1,1,5/17/2014 7:35,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,28769,-1,Yes,83.53,79.83,6.74,6.86,5.89,6.48,318974,32674,8748,2328,No,1700000,10,159/65,English/simple,17y 6m 17d,n/f,200,1622,2671,6010,221,542,0,0,76,56,0
http://www.stuff.co.nz,8,8,202.21.128.102,,New Zealand,Wellington,1680000,1030000,1,1,n/f,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,17081,-1,Yes,89.66,88.61,6.37,6.42,6.82,7.22,195792,3155,9,18083,No,n/f,10,528/30,simple/English,n/f,n/f,200,10014,14987,32574,35668,126637,0,0,354,3054,0
http://techcrunch.com,8,8,76.74.255.123,,United States,Texas,1090000,161000,1,1,5/17/2014 3:08,n/f,n/f,n/f,n/f,n/f,n/f,274000,n/f,,,,,141207,-1,Yes,95,95.59,7.33,7.18,7.71,7.69,1693870,385,232,88935,No,,,,,,,,,,,,,,,,,0
http://arxiv.org,8,8,128.84.21.199,,United States,New York,2590000,1590000,1,1,5/16/2014 15:05,n/f,n/f,n/f,n/f,n/f,n/f,49900,n/f,,,,,20594,-1,No,93.81,92.37,6.32,7.74,7.03,8.78,99176,9519,6288,20119,No,6980000,8,232/10,Unknown,14y 7m 5d,15y 4m 20d,400,1133,3550,6074,798,6104,0,0,8,107,0
http://www.shutterstock.com,8,8,216.146.46.11,,United States,New Hampshire,5480000,2990000,1,1,5/17/2014 8:13,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,203674,-1,Yes,93.48,92.03,7.41,7.03,6.92,6.84,415312,192,193,24171,No,141000000,10,128/12,Russian,10y 4m 9d,10y 10m 8d,200,2924,12235,17863,7521,10865,0,0,1749,504,0
http://www.pnas.org,8,8,171.66.121.222,,United States,California,3570000,3020000,1,1,n/f,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,20859,-1,Yes,93.04,91.22,6.55,7.33,6.94,7.4,95836,21109,9380,20564,No,n/f,10,136/15,English/simple,17y 4m 26d,18y 1m 24d,200,1637,1452,3978,184,433,0,0,15,28,0
http://getfirebug.com,8,8,63.245.217.58,,United States,California,7820,606,1,1,5/15/2014 17:57,n/f,n/f,n/f,n/f,n/f,n/f,82,n/f,,,,,1877,-1,No,87.96,85.45,6.76,6.56,6.64,6.68,64278,4026,8410,8149,No,n/f,10,42/18,English,7y 11m 20d,8y 22d,200,310,1380,2313,20,1175,0,0,55,140,0
http://www.deakin.edu.au,8,8,128.184.216.200,,Australia,Victoria,87200,19000,1,1,5/16/2014 7:45,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,1786,-1,Yes,81.19,77.1,6.55,6.45,6.24,6.73,95172,24817,403,3888,No,,,,,,,,,,,,,,,,,0
http://bigcharts.marketwatch.com,7,7,205.203.131.33,,United States,New Jersey,2690000,3230,1,1,5/16/2014 20:20,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,195879,-1,Yes,88.16,94.45,6.6,6.56,7.41,7.67,503746,562,202,45983,No,n/f,10,44/51,simple/English,14y 7m 14d,n/f,200,72,499,675,43,514,0,0,6,6,0
